Setpoint,Reactor Temperature,Jacket Temperature,Action
52.12025327,65.7046,52.3042,[0.25]
52.13463028,65.7453,52.3311,[0.25]
52.14899222,65.786,52.358,[0.25]
52.16333913,65.8266,52.3848,[0.25]
52.17767108,65.8671,52.4116,[0.25]
52.1919881,65.9075,52.4383,[0.25]
52.20629025,65.9479,52.465,[0.25]
52.22057757,65.9882,52.4916,[0.25]
52.23485011,66.0284,52.5182,[0.25]
52.24910792,66.0685,52.5447,[0.25]
52.26335105,66.1086,52.5712,[0.25]
52.27757955,66.1486,52.5977,[0.25]
52.29179346,66.1885,52.6241,[0.25]
52.30599282,66.2283,52.6504,[0.25]
52.3201777,66.2681,52.6767,[0.25]
52.33434813,66.3078,52.7029,[0.25]
52.34850416,66.3474,52.7291,[0.25]
52.36264583,66.387,52.7553,[0.25]
52.3767732,66.4265,52.7814,[0.25]
52.39088631,66.4659,52.8075,[0.25]
52.40498521,66.5052,52.8335,[0.25]
52.41906994,66.5445,52.8594,[0.25]
52.43314054,66.5837,52.8853,[0.25]
52.44719707,66.6228,52.9112,[0.25]
52.46123956,66.6618,52.937,[0.25]
52.47526807,66.7008,52.9628,[0.25]
52.48928263,66.7397,52.9885,[0.25]
52.5032833,66.7785,53.0142,[0.25]
52.51727011,66.8173,53.0398,[0.25]
52.53124312,66.856,53.0654,[0.25]
52.54520235,66.8946,53.0909,[0.25]
52.55914787,66.9331,53.1164,[0.25]
52.57307971,66.9716,53.1418,[0.25]
52.58699792,67.01,53.1672,[0.25]
52.60090253,67.0483,53.1925,[0.25]
52.6147936,67.0866,53.2178,[0.25]
52.62867116,67.1248,53.243,[0.25]
52.64253526,67.1629,53.2682,[0.25]
52.65638594,67.2009,53.2934,[0.25]
52.67022324,67.2389,53.3185,[0.25]
52.68404721,67.2768,53.3435,[0.25]
52.69785789,67.3146,53.3685,[0.25]
52.71165532,67.3524,53.3935,[0.25]
52.72543953,67.3901,53.4184,[0.25]
52.73921058,67.4277,53.4433,[0.25]
52.75296851,67.4652,53.4681,[0.25]
52.76671334,67.5027,53.4929,[0.25]
52.78044514,67.5401,53.5176,[0.25]
52.79416393,67.5774,53.5423,[0.25]
52.80786976,67.6147,53.5669,[0.25]
52.82156267,67.6519,53.5915,[0.25]
52.83524269,67.689,53.616,[0.25]
52.84890987,67.726,53.6405,[0.25]
52.86256426,67.763,53.665,[0.25]
52.87620588,67.7999,53.6894,[0.25]
52.88983477,67.8367,53.7138,[0.25]
52.90345099,67.8735,53.7381,[0.25]
52.91705456,67.9102,53.7624,[0.25]
52.93064552,67.9468,53.7866,[0.25]
52.94422392,67.9833,53.8108,[0.25]
52.9577898,68.0198,53.8349,[0.25]
52.97134318,68.0562,53.859,[0.25]
52.98488412,68.0925,53.883,[0.25]
52.99841264,68.1288,53.907,[0.25]
53.01192879,68.165,53.9309,[0.25]
53.0254326,68.2011,53.9548,[0.25]
53.03892412,68.2372,53.9786,[0.25]
53.05240337,68.2732,54.0024,[0.25]
53.0658704,68.3091,54.0261,[0.25]
53.07932525,68.3449,54.0498,[0.25]
53.09276795,68.3807,54.0735,[0.25]
53.10619853,68.4164,54.0971,[0.25]
53.11961704,68.452,54.1207,[0.25]
53.13302351,68.4876,54.1442,[0.25]
53.14641797,68.5231,54.1677,[0.25]
53.15980048,68.5585,54.1911,[0.25]
53.17317105,68.5939,54.2145,[0.25]
53.18652972,68.6292,54.2378,[0.25]
53.19987654,68.6644,54.2611,[0.25]
53.21321154,68.6996,54.2843,[0.25]
53.22653474,68.7347,54.3075,[0.25]
53.2398462,68.7697,54.3307,[0.25]
53.25314594,68.8046,54.3538,[0.25]
53.26643399,68.8395,54.3769,[0.25]
53.2797104,68.8743,54.3999,[0.25]
53.29297519,68.909,54.4229,[0.25]
53.30622841,68.9437,54.4458,[0.25]
53.31947008,68.9783,54.4687,[0.25]
53.33270025,69.0128,54.4915,[0.25]
53.34591893,69.0473,54.5143,[0.25]
53.35912617,69.0817,54.5371,[0.25]
53.37232201,69.116,54.5598,[0.25]
53.38550647,69.1503,54.5824,[0.25]
53.39867959,69.1845,54.605,[0.25]
53.4118414,69.2186,54.6276,[0.25]
53.42499193,69.2527,54.6501,[0.25]
53.43813122,69.2867,54.6726,[0.25]
53.4512593,69.3206,54.6951,[0.25]
53.46437621,69.3545,54.7175,[0.25]
53.47748197,69.3883,54.7398,[0.25]
53.49057661,69.422,54.7621,[0.25]
53.50366018,69.4557,54.7844,[0.25]
53.51673269,69.4893,54.8066,[0.25]
53.52979419,69.5228,54.8288,[0.25]
53.54284471,69.5562,54.8509,[0.25]
53.55588427,69.5896,54.873,[0.25]
53.56891291,69.6229,54.895,[0.25]
53.58193066,69.6561,54.917,[0.25]
53.59493754,69.6893,54.9389,[0.25]
53.6079336,69.7224,54.9608,[0.25]
53.62091886,69.7554,54.9827,[0.25]
53.63389335,69.7884,55.0045,[0.25]
53.64685711,69.8213,55.0263,[0.25]
53.65981016,69.8541,55.048,[0.25]
53.67275253,69.8869,55.0697,[0.25]
53.68568425,69.9196,55.0913,[0.25]
53.69860536,69.9522,55.1129,[0.25]
53.71151588,69.9848,55.1344,[0.25]
53.72441585,70.0173,55.1559,[0.25]
53.73730528,70.0497,55.1774,[0.25]
53.75018422,70.0821,55.1988,[0.25]
53.76305268,70.1144,55.2202,[0.25]
53.77591071,70.1466,55.2415,[0.25]
53.78875832,70.1788,55.2628,[0.25]
53.80159556,70.2109,55.284,[0.25]
53.81442243,70.2429,55.3052,[0.25]
53.82723898,70.2749,55.3264,[0.25]
53.84004524,70.3068,55.3475,[0.25]
53.85284122,70.3386,55.3686,[0.25]
53.86562696,70.3704,55.3896,[0.25]
53.87840249,70.4021,55.4106,[0.25]
53.89116783,70.4337,55.4315,[0.25]
53.90392302,70.4653,55.4524,[0.25]
53.91666807,70.4968,55.4732,[0.25]
53.92940302,70.5282,55.494,[0.25]
53.94212789,70.5596,55.5148,[0.25]
53.95484272,70.5909,55.5355,[0.25]
53.96754752,70.6221,55.5562,[0.25]
53.98024233,70.6533,55.5768,[0.25]
53.99292716,70.6844,55.5974,[0.25]
54.00560206,70.7154,55.6179,[0.25]
54.01826704,70.7464,55.6384,[0.25]
54.03092213,70.7773,55.6588,[0.25]
54.04356735,70.8081,55.6792,[0.25]
54.05620274,70.8389,55.6996,[0.25]
54.06882832,70.8696,55.7199,[0.25]
54.08144411,70.9002,55.7402,[0.25]
54.09405013,70.9308,55.7604,[0.25]
54.10664643,70.9613,55.7806,[0.25]
54.11923301,70.9918,55.8008,[0.25]
54.13180991,71.0222,55.8209,[0.25]
54.14437715,71.0525,55.841,[0.25]
54.15693475,71.0828,55.861,[0.25]
54.16948275,71.113,55.881,[0.25]
54.18202116,71.1431,55.9009,[0.25]
54.19455001,71.1732,55.9208,[0.25]
54.20706932,71.2032,55.9407,[0.25]
54.21957912,71.2331,55.9605,[0.25]
54.23207943,71.263,55.9803,[0.25]
54.24457027,71.2928,56.0,[0.25]
54.25705168,71.3225,56.0197,[0.25]
54.26952367,71.3522,56.0393,[0.25]
54.28198627,71.3818,56.0589,[0.25]
54.2944395,71.4113,56.0785,[0.25]
54.30688338,71.4408,56.098,[0.25]
54.31931794,71.4702,56.1175,[0.25]
54.3317432,71.4995,56.1369,[0.25]
54.34415918,71.5288,56.1563,[0.25]
54.35656591,71.558,56.1756,[0.25]
54.36896341,71.5871,56.1949,[0.25]
54.3813517,71.6162,56.2141,[0.25]
54.3937308,71.6452,56.2333,[0.25]
54.40610074,71.6742,56.2525,[0.25]
54.41846154,71.7031,56.2716,[0.25]
54.43081322,71.7319,56.2907,[0.25]
54.4431558,71.7607,56.3097,[0.25]
54.4554893,71.7894,56.3287,[0.25]
54.46781376,71.818,56.3477,[0.25]
54.48012918,71.8466,56.3666,[0.25]
54.49243559,71.8751,56.3855,[0.25]
54.50473301,71.9035,56.4043,[0.25]
54.51702146,71.9319,56.4231,[0.25]
54.52930097,71.9602,56.4418,[0.25]
54.54157155,71.9885,56.4605,[0.25]
54.55383322,72.0167,56.4792,[0.25]
54.56608602,72.0448,56.4978,[0.25]
54.57832995,72.0729,56.5164,[0.25]
54.59056503,72.1009,56.5349,[0.25]
54.6027913,72.1289,56.5534,[0.25]
54.61500876,72.1568,56.5719,[0.25]
54.62721744,72.1846,56.5903,[0.25]
54.63941736,72.2124,56.6087,[0.25]
54.65160853,72.2401,56.627,[0.25]
54.66379099,72.2677,56.6453,[0.25]
54.67596474,72.2953,56.6636,[0.25]
54.68812981,72.3228,56.6818,[0.25]
54.70028622,72.3503,56.7,[0.25]
54.71243399,72.3777,56.7181,[0.25]
54.72457313,72.405,56.7362,[0.25]
54.73670366,72.4323,56.7543,[0.25]
54.74882561,72.4595,56.7723,[0.25]
54.760939,72.4867,56.7903,[0.25]
54.77304383,72.5138,56.8082,[0.25]
54.78514013,72.5408,56.8261,[0.25]
54.79722793,72.5678,56.844,[0.25]
54.80930723,72.5947,56.8618,[0.25]
54.82137806,72.6216,56.8796,[0.25]
54.83344043,72.6484,56.8973,[0.25]
54.84549437,72.6751,56.915,[0.25]
54.85753988,72.7018,56.9327,[0.25]
54.869577,72.7284,56.9503,[0.25]
54.88160573,72.755,56.9679,[0.25]
54.8936261,72.7815,56.9855,[0.25]
54.90563811,72.8079,57.003,[0.25]
54.9176418,72.8343,57.0205,[0.25]
54.92963717,72.8606,57.0379,[0.25]
54.94162425,72.8869,57.0553,[0.25]
54.95360305,72.9131,57.0726,[0.25]
54.96557359,72.9392,57.0899,[0.25]
54.97753588,72.9653,57.1072,[0.25]
54.98948995,72.9913,57.1244,[0.25]
55.0014358,73.0173,57.1416,[0.25]
55.01337346,73.0432,57.1588,[0.25]
55.02530294,73.069,57.1759,[0.25]
55.03722427,73.0948,57.193,[0.25]
55.04913744,73.1205,57.21,[0.25]
55.06104249,73.1462,57.227,[0.25]
55.07293943,73.1718,57.2439,[0.25]
55.08482827,73.1973,57.2608,[0.25]
55.09670902,73.2228,57.2777,[0.25]
55.10858172,73.2482,57.2945,[0.25]
55.12044636,73.2736,57.3113,[0.25]
55.13230298,73.2989,57.3281,[0.25]
55.14415157,73.3241,57.3448,[0.25]
55.15599216,73.3493,57.3615,[0.25]
55.16782477,73.3744,57.3781,[0.25]
55.1796494,73.3995,57.3947,[0.25]
55.19146608,73.4245,57.4113,[0.25]
55.20327482,73.4494,57.4278,[0.25]
55.21507563,73.4743,57.4443,[0.25]
55.22686853,73.4991,57.4607,[0.25]
55.23865353,73.5239,57.4771,[0.25]
55.25043065,73.5486,57.4935,[0.25]
55.2621999,73.5733,57.5098,[0.25]
55.2739613,73.5979,57.5261,[0.25]
55.28571486,73.6224,57.5424,[0.25]
55.2974606,73.6469,57.5586,[0.25]
55.30919852,73.6713,57.5748,[0.25]
55.32092865,73.6957,57.5909,[0.25]
55.332651,73.72,57.607,[0.25]
55.34436558,73.7442,57.6231,[0.25]
55.3560724,73.7684,57.6391,[0.25]
55.36777148,73.7925,57.6551,[0.25]
55.37946284,73.8166,57.671,[0.25]
55.39114648,73.8406,57.6869,[0.25]
55.40282242,73.8646,57.7028,[0.25]
55.41449067,73.8885,57.7186,[0.25]
55.42615125,73.9124,57.7344,[0.25]
55.43780417,73.9362,57.7502,[0.25]
55.44944944,73.9599,57.7659,[0.25]
55.46108708,73.9836,57.7816,[0.25]
55.47271709,74.0072,57.7973,[0.25]
55.48433949,74.0308,57.8129,[0.25]
55.4959543,74.0543,57.8285,[0.25]
55.50756153,74.0778,57.844,[0.25]
55.51916118,74.1012,57.8595,[0.25]
55.53075327,74.1246,57.875,[0.25]
55.54233782,74.1479,57.8904,[0.25]
55.55391483,74.1711,57.9058,[0.25]
55.56548432,74.1943,57.9212,[0.25]
55.5770463,74.2174,57.9365,[0.25]
55.58860078,74.2405,57.9518,[0.25]
55.60014778,74.2635,57.967,[0.25]
55.6116873,74.2865,57.9822,[0.25]
